match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs South Africa,South Africa,9,Kagiso Rabada,,5,3,5,1,0,166.66
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
India vs England,India,1,Rohit Sharma, b Rashid,57,39,57,6,2,146.15
India vs England,India,2,Virat Kohli, b Topley,9,9,10,0,1,100.00
India vs England,India,3,Rishabh Pant,c Bairstow b Curran,4,6,12,0,0,66.66
India vs England,India,4,Suryakumar Yadav,c Jordan b Archer,47,36,40,4,2,130.55
India vs England,India,5,Hardik Pandya,c Curran b Jordan,23,13,17,1,2,176.92
India vs England,India,6,Ravindra Jadeja,,17,9,24,2,0,188.88
India vs England,India,7,Shivam Dube,c †Buttler b Jordan,0,1,1,0,0,0.00
India vs England,India,8,Axar Patel,c Salt b Jordan,10,6,10,0,1,166.66
India vs England,India,9,Arshdeep Singh,,1,1,1,0,0,100.00
India vs England,England,1,Phil Salt, b Bumrah,5,8,20,0,0,62.50
India vs England,England,2,Jos Buttler,c †Pant b Patel,23,15,13,4,0,153.33
India vs England,England,3,Moeen Ali,st †Pant b Patel,8,10,18,0,0,80.00
India vs England,England,4,Jonny Bairstow, b Patel,0,3,2,0,0,0.00
India vs England,England,5,Harry Brook, b Kuldeep Yadav,25,19,21,3,0,131.57
India vs England,England,6,Sam Curran,lbw b Kuldeep Yadav,2,4,4,0,0,50.00
India vs England,England,7,Liam Livingstone,run out (Kuldeep Yadav/Patel),11,16,24,0,0,68.75
India vs England,England,8,Chris Jordan,lbw b Kuldeep Yadav,1,5,6,0,0,20.00
India vs England,England,9,Jofra Archer,lbw b Bumrah,21,15,17,1,2,140.00
India vs England,England,10,Adil Rashid,run out (Yadav),2,2,2,0,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
India vs Australia,India,1,Rohit Sharma, b Starc,92,41,59,7,8,224.39
India vs Australia,India,2,Virat Kohli,c David b Hazlewood,0,5,8,0,0,0.00
India vs Australia,India,3,Rishabh Pant,c Hazlewood b Stoinis,15,14,33,1,1,107.14
India vs Australia,India,4,Suryakumar Yadav,c †Wade b Starc,31,16,29,3,2,193.75
India vs Australia,India,5,Shivam Dube,c Warner b Stoinis,28,22,33,2,1,127.27
India vs Australia,India,6,Hardik Pandya,,27,17,24,1,2,158.82
India vs Australia,India,7,Ravindra Jadeja,,9,5,4,0,1,180.00
India vs Australia,Australia,1,David Warner,c Yadav b Arshdeep Singh,6,6,5,1,0,100.00
India vs Australia,Australia,2,Travis Head,c Sharma b Bumrah,76,43,76,9,4,176.74
India vs Australia,Australia,3,Mitchell Marsh,c Patel b Kuldeep Yadav,37,28,38,3,2,132.14
India vs Australia,Australia,4,Glenn Maxwell, b Kuldeep Yadav,20,12,15,2,1,166.66
India vs Australia,Australia,5,Marcus Stoinis,c Pandya b Patel,2,4,4,0,0,50.00
India vs Australia,Australia,6,Tim David,c Bumrah b Arshdeep Singh,15,11,22,1,1,136.36
India vs Australia,Australia,7,Matthew Wade,c Kuldeep Yadav b Arshdeep Singh,1,2,5,0,0,50.00
India vs Australia,Australia,8,Pat Cummins,,11,7,15,0,1,157.14
India vs Australia,Australia,9,Mitchell Starc,,4,7,9,0,0,57.14
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
India vs Bangladesh,India,1,Rohit Sharma,c Jaker Ali b Shakib Al Hasan,23,11,14,3,1,209.09
India vs Bangladesh,India,2,Virat Kohli, b Tanzim Hasan Sakib,37,28,34,1,3,132.14
India vs Bangladesh,India,3,Rishabh Pant,c Tanzim Hasan Sakib b Rishad Hossain,36,24,36,4,2,150.00
India vs Bangladesh,India,4,Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,2,2,0,1,300.00
India vs Bangladesh,India,5,Shivam Dube, b Rishad Hossain,34,24,38,0,3,141.66
India vs Bangladesh,India,6,Hardik Pandya,,50,27,38,4,3,185.18
India vs Bangladesh,India,7,Axar Patel,,3,5,13,0,0,60.00
India vs Bangladesh,Bangladesh,1,Litton Das,c Yadav b Pandya,13,10,20,1,1,130.00
India vs Bangladesh,Bangladesh,2,Tanzid Hasan,lbw b Kuldeep Yadav,29,31,41,4,0,93.54
India vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,c Arshdeep Singh b Bumrah,40,32,46,1,3,125.00
India vs Bangladesh,Bangladesh,4,Towhid Hridoy,lbw b Kuldeep Yadav,4,6,6,0,0,66.66
India vs Bangladesh,Bangladesh,5,Shakib Al Hasan,c Sharma b Kuldeep Yadav,11,7,7,1,1,157.14
India vs Bangladesh,Bangladesh,6,Mahmudullah,c Patel b Arshdeep Singh,13,15,30,1,0,86.66
India vs Bangladesh,Bangladesh,7,Jaker Ali,c Kohli b Arshdeep Singh,1,4,3,0,0,25.00
India vs Bangladesh,Bangladesh,8,Rishad Hossain,c Sharma b Bumrah,24,10,9,1,3,240.00
India vs Bangladesh,Bangladesh,9,Mahedi Hasan,,5,4,7,1,0,125.00
India vs Bangladesh,Bangladesh,10,Tanzim Hasan Sakib,,1,1,1,0,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
